FID,Zone,Longitude,Latitude,Azimuth,TCD,SHAPE_Leng,SCE,NSM,EPR,EPRunc,LRR,LR2,LSE,LCI90,WLR,WR2,WSE,WCI90,SLA_Interp
12841,Kwale,39.50980497,-4.467364624,284.67,323500,2528.7254,12.77,0.85,0.04,0.59,0.02,0,2.98,0.14,0.01342357,0,0.3,0.14,0.180988769
12842,Kwale,39.50976669,-4.467508445,285.05,323525,2527.945077,12.77,0.82,0.03,0.59,0.01,0,2.98,0.14,0.006780176,0,0.3,0.14,0.180988769
12843,Kwale,39.5097263,-4.46765546,285.42,323550,2527.545979,12.38,0.79,0.03,0.59,0.02,0,2.86,0.14,0.013436395,0,0.29,0.14,0.180988769
12844,Kwale,39.50969114,-4.467781879,285.9,323575,2527.374587,12.2,0.78,0.03,0.59,0.02,0,2.82,0.13,0.01418224,0,0.28,0.13,0.180988769
12845,Kwale,39.50965675,-4.467905257,286.39,323600,2527.402032,12.05,0.77,0.03,0.59,0.02,0,2.79,0.13,0.013338729,0,0.28,0.13,0.180988769
12846,Kwale,39.50961824,-4.468040865,286.82,323625,2527.273361,11.78,0.58,0.02,0.59,0.01,0,2.72,0.13,0.006867248,0,0.27,0.13,0.180988769
12847,Kwale,39.50957732,-4.4681779,287.23,323650,2526.82106,11.49,0.55,0.02,0.59,0,0,2.65,0.13,0,0,0.26,0.13,0.180988769
12848,Kwale,39.50953803,-4.468303999,287.71,323675,2526.892116,11.55,0.53,0.02,0.59,-0.01,0,2.65,0.13,-0.006949524,0,0.26,0.13,0.180988769
12849,Kwale,39.50949718,-4.468429588,288.18,323700,2526.841544,11.65,0.51,0.02,0.59,-0.01,0,2.66,0.13,-0.006654365,0,0.27,0.13,0.180988769
12850,Kwale,39.5094562,-4.468551824,288.66,323725,2526.70884,11.74,0.5,0.02,0.59,-0.02,0,2.69,0.13,-0.01351293,0,0.27,0.13,0.180988769
