Zone,Fish type,Species,Season,Year,Number of Boated catch,Weight in Kgs,Tagged fish,Hours,CPUE,Released weight (weight - boated),Calculated length
Watamu,Barracuda,Sphyraena,2009/2010,2010,58,432,0,7,8.3,,
Shimoni,Barracuda,Sphyraena,2009/2010,2010,8,33,0,7,1.1,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2009/2010,2010,7,66,0,7,1.0,,
Kilifi,Barracuda,Sphyraena,2009/2010,2010,900,111,0,7,128.6,,
Lamu & Kiwayu,Barracuda,Sphyraena,2009/2010,2010,33,131,0,7,4.7,,
Malindi & Ngomeni,Barracuda,Sphyraena,2010/2011,2011,146,995,0,7,20.9,,
Watamu,Barracuda,Sphyraena,2010/2011,2011,63,312,0,7,9.0,,
Shimoni,Barracuda,Sphyraena,2010/2011,2011,8,33,0,7,1.1,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2010/2011,2011,7,66,0,7,1.0,,
Kilifi,Barracuda,Sphyraena,2010/2011,2011,900,111,0,7,128.6,,
Lamu & Kiwayu,Barracuda,Sphyraena,2010/2011,2011,33,131,0,7,4.7,,
Malindi & Ngomeni,Barracuda,Sphyraena,2011/2012,2012,165,977,0,7,23.6,,
Watamu,Barracuda,Sphyraena,2011/2012,2012,39,267,0,7,5.6,,
Shimoni,Barracuda,Sphyraena,2011/2012,2012,13,57,0,7,1.9,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2011/2012,2012,9,85,0,7,1.3,,
Kilifi,Barracuda,Sphyraena,2011/2012,2012,14,71,0,7,2.0,,
Lamu & Kiwayu,Barracuda,Sphyraena,2011/2012,2012,24,179,0,7,3.4,,
Malindi & Ngomeni,Barracuda,Sphyraena,2012/2013,2013,93,505,0,7,13.3,,
Watamu,Barracuda,Sphyraena,2012/2013,2013,30,219,0,7,4.3,,
Shimoni,Barracuda,Sphyraena,2012/2013,2013,10,51,0,7,1.4,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2012/2013,2013,3,41,0,7,0.4,,
Kilifi,Barracuda,Sphyraena,2012/2013,2013,27,124.9,0,7,3.9,,
Lamu & Kiwayu,Barracuda,Sphyraena,2012/2013,2013,2,12,0,7,0.3,,
Malindi & Ngomeni,Barracuda,Sphyraena,2013/2014,2014,128,726,0,7,18.3,,
Watamu,Barracuda,Sphyraena,2013/2014,2014,20,157,0,7,2.9,,
Shimoni,Barracuda,Sphyraena,2013/2014,2014,13,63,0,7,1.9,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2013/2014,2014,5,11,0,7,0.7,,
Kilifi,Barracuda,Sphyraena,2013/2014,2014,21,90,0,7,3.0,,
Lamu & Kiwayu,Barracuda,Sphyraena,2013/2014,2014,6,38,0,7,0.9,,
Malindi & Ngomeni,Barracuda,Sphyraena,2014/2015,2015,0,0,0,7,0.0,,
Watamu,Barracuda,Sphyraena,2014/2015,2015,15,120,0,7,2.1,,
Shimoni,Barracuda,Sphyraena,2014/2015,2015,0,0,0,7,0.0,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2014/2015,2015,7,0,0,7,1.0,,
Kilifi,Barracuda,Sphyraena,2014/2015,2015,12,96,0,7,1.7,,
Lamu & Kiwayu,Barracuda,Sphyraena,2014/2015,2015,13,80,0,7,1.9,,
Malindi & Ngomeni,Barracuda,Istiompax indica,1990/1991,1991,21,1647,0,7,3.0,,
Watamu,Black Marlin,Istiompax indica,1990/1991,1991,45,3971,0,7,6.4,,
Shimoni,Black Marlin,Istiompax indica,1990/1991,1991,9,891,0,7,1.3,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,1990/1991,1991,10,868,0,7,1.4,,
Kilifi,Black Marlin,Istiompax indica,1990/1991,1991,3,203,0,7,0.4,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,1990/1991,1991,0,0,0,7,0.0,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,1991/1992,1992,30,2548.8,12,7,4.3,,
Watamu,Black Marlin,Istiompax indica,1991/1992,1992,49,4772,14,7,7.0,,
Shimoni,Black Marlin,Istiompax indica,1991/1992,1992,9,1068,0,7,1.3,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,1991/1992,1992,14,920,0,7,2.0,,
Kilifi,Black Marlin,Istiompax indica,1991/1992,1992,6,359,0,7,0.9,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,1991/1992,1992,1,0,1,7,0.1,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,1992/1993,1993,32,2721,4,7,4.6,,
Watamu,Black Marlin,Istiompax indica,1992/1993,1993,60,4148,23,7,8.6,,
Shimoni,Black Marlin,Istiompax indica,1992/1993,1993,12,950,3,7,1.7,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,1992/1993,1993,19,1844.5,4,7,2.7,,
Kilifi,Black Marlin,Istiompax indica,1992/1993,1993,4,351,0,7,0.6,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,1992/1993,1993,5,0,0,7,0.7,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,1993/1994,1994,40,3702.1,8,7,5.7,,
Watamu,Black Marlin,Istiompax indica,1993/1994,1994,105,9835,0,7,15.0,,
Shimoni,Black Marlin,Istiompax indica,1993/1994,1994,14,1437.1,1,7,2.0,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,1993/1994,1994,23,2092.6,3,7,3.3,,
