Zone,Fish type,Species,Season,Year,Number of Boated catch,Weight in Kgs,Tagged fish,Hours,CPUE,Released weight (weight - boated),Calculated length
Shimoni,Broadbill,Xiphias gladius,2012/2013,2013,5,0,0,7,0.7,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,2012/2013,2013,0,0,0,7,0.0,,
Kilifi,Broadbill,Xiphias gladius,2012/2013,2013,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,2012/2013,2013,1,0,1,7,0.1,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,2013/2014,2014,9,140,8,7,1.3,,
Watamu,Broadbill,Xiphias gladius,2013/2014,2014,20,391,16,7,2.9,,
Shimoni,Broadbill,Xiphias gladius,2013/2014,2014,1,15,1,7,0.1,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,2013/2014,2014,2,0,1,7,0.3,,
Kilifi,Broadbill,Xiphias gladius,2013/2014,2014,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,2013/2014,2014,0,0,0,7,0.0,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,2014/2015,2015,3,0,0,7,0.4,,
Watamu,Broadbill,Xiphias gladius,2014/2015,2015,11,0,11,7,1.6,,
Shimoni,Broadbill,Xiphias gladius,2014/2015,2015,0,0,0,7,0.0,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,2014/2015,2015,0,0,0,7,0.0,,
Kilifi,Broadbill,Xiphias gladius,2014/2015,2015,2,122,1,7,0.3,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,2014/2015,2015,0,0,0,7,0.0,,
Malindi & Ngomeni,Broadbill,Rachycentron canadum,1990/1991,1991,20,381,0,7,2.9,,
Watamu,Cobia,Rachycentron canadum,1990/1991,1991,8,143,0,7,1.1,,
Shimoni,Cobia,Rachycentron canadum,1990/1991,1991,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,1990/1991,1991,17,322,0,7,2.4,,
Kilifi,Cobia,Rachycentron canadum,1990/1991,1991,1,4,0,7,0.1,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,1990/1991,1991,1,9,0,7,0.1,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,1990/1991,1992,10,245.2,0,7,1.4,,
Watamu,Cobia,Rachycentron canadum,1990/1991,1992,3,37,0,7,0.4,,
Shimoni,Cobia,Rachycentron canadum,1991/1992,1992,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,1991/1992,1992,9,157,0,7,1.3,,
Kilifi,Cobia,Rachycentron canadum,1991/1992,1992,2,19,0,7,0.3,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,1990/1991,1992,1,10,0,7,0.1,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,1992/1993,1993,14,317.6,0,7,2.0,,
Watamu,Cobia,Rachycentron canadum,1992/1993,1993,5,58,0,7,0.7,,
Shimoni,Cobia,Rachycentron canadum,1992/1993,1993,1,25,0,7,0.1,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,1992/1993,1993,19,350.2,0,7,2.7,,
Kilifi,Cobia,Rachycentron canadum,1992/1993,1993,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,1992/1993,1993,2,23,0,7,0.3,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,1993/1994,1994,5,80.1,0,7,0.7,,
Watamu,Cobia,Rachycentron canadum,1993/1994,1994,5,78,0,7,0.7,,
Shimoni,Cobia,Rachycentron canadum,1993/1994,1994,2,32,0,7,0.3,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,1993/1994,1994,13,272.5,0,7,1.9,,
Kilifi,Cobia,Rachycentron canadum,1993/1994,1994,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,1993/1994,1994,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,1994/1995,1995,11,220,0,7,1.6,,
Watamu,Cobia,Rachycentron canadum,1994/1995,1995,8,104,0,7,1.1,,
Shimoni,Cobia,Rachycentron canadum,1994/1995,1995,4,61,0,7,0.6,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,1994/1995,1995,19,256,0,7,2.7,,
Kilifi,Cobia,Rachycentron canadum,1994/1995,1995,4,35,0,7,0.6,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,1994/1995,1995,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,1995/1996,1996,10,168,0,7,1.4,,
Watamu,Cobia,Rachycentron canadum,1995/1996,1996,6,75,1,7,0.9,,
Shimoni,Cobia,Rachycentron canadum,1995/1996,1996,2,32,0,7,0.3,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,1995/1996,1996,11,147,0,7,1.6,,
Kilifi,Cobia,Rachycentron canadum,1995/1996,1996,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,1995/1996,1996,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,1996/1997,1997,13,211,0,7,1.9,,
Watamu,Cobia,Rachycentron canadum,1996/1997,1997,3,36,0,7,0.4,,
Shimoni,Cobia,Rachycentron canadum,1996/1997,1997,2,35,0,7,0.3,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,1996/1997,1997,6,109,0,7,0.9,,
Kilifi,Cobia,Rachycentron canadum,1996/1997,1997,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,1996/1997,1997,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,1997/1998,1998,8,116.1,0,7,1.1,,
Watamu,Cobia,Rachycentron canadum,1997/1998,1998,3,42,0,7,0.4,,
Shimoni,Cobia,Rachycentron canadum,1997/1998,1998,2,28,0,7,0.3,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,1997/1998,1998,4,72,0,7,0.6,,
Kilifi,Cobia,Rachycentron canadum,1997/1998,1998,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,1997/1998,1998,1,36,0,7,0.1,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,1998/1999,1999,2,24,0,7,0.3,,
Watamu,Cobia,Rachycentron canadum,1998/1999,1999,1,12,0,7,0.1,,
Shimoni,Cobia,Rachycentron canadum,1998/1999,1999,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,1998/1999,1999,1,11,0,7,0.1,,
Kilifi,Cobia,Rachycentron canadum,1998/1999,1999,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,1998/1999,1999,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,1999/2000,2000,8,100.5,0,7,1.1,,
Watamu,Cobia,Rachycentron canadum,1999/2000,2000,2,18,0,7,0.3,,
Shimoni,Cobia,Rachycentron canadum,1999/2000,2000,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,1999/2000,2000,2,23,0,7,0.3,,
Kilifi,Cobia,Rachycentron canadum,1999/2000,2000,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,1999/2000,2000,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,2000/2001,2001,5,90,0,7,0.7,,
Watamu,Cobia,Rachycentron canadum,2000/2001,2001,6,86,0,7,0.9,,
Shimoni,Cobia,Rachycentron canadum,2000/2001,2001,4,48,0,7,0.6,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,2000/2001,2001,2,32,0,7,0.3,,
Kilifi,Cobia,Rachycentron canadum,2000/2001,2001,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,2000/2001,2001,1,20,0,7,0.1,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,2001/2002,2002,12,161,0,7,1.7,,
Watamu,Cobia,Rachycentron canadum,2001/2002,2002,5,125,0,7,0.7,,
Shimoni,Cobia,Rachycentron canadum,2001/2002,2002,2,41,0,7,0.3,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,2001/2002,2002,2,55,0,7,0.3,,
Kilifi,Cobia,Rachycentron canadum,2001/2002,2002,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,2001/2002,2002,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,2002/2003,2003,22,479,0,7,3.1,,
Watamu,Cobia,Rachycentron canadum,2002/2003,2003,4,84,0,7,0.6,,
Shimoni,Cobia,Rachycentron canadum,2002/2003,2003,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,2002/2003,2003,4,50,0,7,0.6,,
Kilifi,Cobia,Rachycentron canadum,2002/2003,2003,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,2002/2003,2003,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,2003/2004,2004,26,450,0,7,3.7,,
Watamu,Cobia,Rachycentron canadum,2003/2004,2004,7,93.5,0,7,1.0,,
Shimoni,Cobia,Rachycentron canadum,2003/2004,2004,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,2003/2004,2004,1,13,0,7,0.1,,
Kilifi,Cobia,Rachycentron canadum,2003/2004,2004,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,2003/2004,2004,2,20,0,7,0.3,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,2004/2005,2005,14,177.5,0,7,2.0,,
Watamu,Cobia,Rachycentron canadum,2004/2005,2005,5,86,0,7,0.7,,
Shimoni,Cobia,Rachycentron canadum,2004/2005,2005,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,2004/2005,2005,4,99,0,7,0.6,,
Kilifi,Cobia,Rachycentron canadum,2004/2005,2005,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,2004/2005,2005,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,2005/2006,2006,?,?,0,7,#VALUE!,,
Watamu,Cobia,Rachycentron canadum,2005/2006,2006,3,29,0,7,0.4,,
Shimoni,Cobia,Rachycentron canadum,2005/2006,2006,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,2005/2006,2006,1,15,0,7,0.1,,
Kilifi,Cobia,Rachycentron canadum,2005/2006,2006,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,2005/2006,2006,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,2006/2007,2007,4,41,0,7,0.6,,
Watamu,Cobia,Rachycentron canadum,2006/2007,2007,0,0,0,7,0.0,,
Shimoni,Cobia,Rachycentron canadum,2006/2007,2007,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,2006/2007,2007,0,0,0,7,0.0,,
Kilifi,Cobia,Rachycentron canadum,2006/2007,2007,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,2006/2007,2007,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,2007/2008,2008,6,74,1,7,0.9,,
Watamu,Cobia,Rachycentron canadum,2007/2008,2008,1,19,0,7,0.1,,
Shimoni,Cobia,Rachycentron canadum,2007/2008,2008,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,2007/2008,2008,0,0,0,7,0.0,,
Kilifi,Cobia,Rachycentron canadum,2007/2008,2008,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,2007/2008,2008,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,2008/2009,2009,5,26,0,7,0.7,,
Watamu,Cobia,Rachycentron canadum,2008/2009,2009,4,60,0,7,0.6,,
Shimoni,Cobia,Rachycentron canadum,2008/2009,2009,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,2008/2009,2009,2,30,0,7,0.3,,
Kilifi,Cobia,Rachycentron canadum,2008/2009,2009,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,2008/2009,2009,1,0,0,7,0.1,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,2009/2010,2010,38,225,0,7,5.4,,
Watamu,Cobia,Rachycentron canadum,2009/2010,2010,4,60,0,7,0.6,,
Shimoni,Cobia,Rachycentron canadum,2009/2010,2010,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,2009/2010,2010,3,12,0,7,0.4,,
Kilifi,Cobia,Rachycentron canadum,2009/2010,2010,1,6,0,7,0.1,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,2009/2010,2010,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,2010/2011,2011,38,225,0,7,5.4,,
Watamu,Cobia,Rachycentron canadum,2010/2011,2011,0,0,0,7,0.0,,
Shimoni,Cobia,Rachycentron canadum,2010/2011,2011,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,2010/2011,2011,3,12,0,7,0.4,,
Kilifi,Cobia,Rachycentron canadum,2010/2011,2011,1,6,0,7,0.1,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,2010/2011,2011,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,2011/2012,2012,3,12,0,7,0.4,,
Watamu,Cobia,Rachycentron canadum,2011/2012,2012,3,52,0,7,0.4,,
Shimoni,Cobia,Rachycentron canadum,2011/2012,2012,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,2011/2012,2012,1,16,0,7,0.1,,
Kilifi,Cobia,Rachycentron canadum,2011/2012,2012,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,2011/2012,2012,1,8,0,7,0.1,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,2012/2013,2013,1,8,0,7,0.1,,
Watamu,Cobia,Rachycentron canadum,2012/2013,2013,2,18,0,7,0.3,,
Shimoni,Cobia,Rachycentron canadum,2012/2013,2013,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,2012/2013,2013,0,0,0,7,0.0,,
Kilifi,Cobia,Rachycentron canadum,2012/2013,2013,3,3.3,0,7,0.4,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,2012/2013,2013,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,2013/2014,2014,7,50,0,7,1.0,,
Watamu,Cobia,Rachycentron canadum,2013/2014,2014,1,13,0,7,0.1,,
Shimoni,Cobia,Rachycentron canadum,2013/2014,2014,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,2013/2014,2014,3,29,0,7,0.4,,
Kilifi,Cobia,Rachycentron canadum,2013/2014,2014,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,2013/2014,2014,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Rachycentron canadum,2014/2015,2015,0,0,0,7,0.0,,
Watamu,Cobia,Rachycentron canadum,2014/2015,2015,0,0,0,7,0.0,,
Shimoni,Cobia,Rachycentron canadum,2014/2015,2015,0,0,0,7,0.0,,
Mtwapa & Mombasa,Cobia,Rachycentron canadum,2014/2015,2015,0,0,0,7,0.0,,
Kilifi,Cobia,Rachycentron canadum,2014/2015,2015,0,0,0,7,0.0,,
Lamu & Kiwayu,Cobia,Rachycentron canadum,2014/2015,2015,0,0,0,7,0.0,,
Malindi & Ngomeni,Cobia,Coryphaena hippurus,1990/1991,1991,1531,7264,0,7,218.7,,
Watamu,Dorado,Coryphaena hippurus,1990/1991,1991,2017,9613,0,7,288.1,,
Shimoni,Dorado,Coryphaena hippurus,1990/1991,1991,361,1919,0,7,51.6,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,1990/1991,1991,1070,5260,0,7,152.9,,
Kilifi,Dorado,Coryphaena hippurus,1990/1991,1991,225,1126,0,7,32.1,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,1990/1991,1991,178,1026,0,7,25.4,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,1991/1992,1992,1968,7403.1,0,7,281.1,,
Watamu,Dorado,Coryphaena hippurus,1991/1992,1992,2074,8892,0,7,296.3,,
Shimoni,Dorado,Coryphaena hippurus,1991/1992,1992,237,1202,0,7,33.9,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,1991/1992,1992,1136,4788,0,7,162.3,,
Kilifi,Dorado,Coryphaena hippurus,1991/1992,1992,235,898,0,7,33.6,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,1991/1992,1992,216,1061.5,0,7,30.9,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,1992/1993,1993,2482,8681.7,0,7,354.6,,
Watamu,Dorado,Coryphaena hippurus,1992/1993,1993,1640,7738,0,7,234.3,,
Shimoni,Dorado,Coryphaena hippurus,1992/1993,1993,707,3480,0,7,101.0,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,1992/1993,1993,1839,4515.7,0,7,262.7,,
Kilifi,Dorado,Coryphaena hippurus,1992/1993,1993,135,668,0,7,19.3,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,1992/1993,1993,197,1004.2,0,7,28.1,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,1993/1994,1994,880,3649.1,1,7,125.7,,
Watamu,Dorado,Coryphaena hippurus,1993/1994,1994,1062,4892,0,7,151.7,,
Shimoni,Dorado,Coryphaena hippurus,1993/1994,1994,507,2809.7,0,7,72.4,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,1993/1994,1994,962,5411.2,56,7,137.4,,
Kilifi,Dorado,Coryphaena hippurus,1993/1994,1994,229,944.4,0,7,32.7,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,1993/1994,1994,30,1745,0,7,4.3,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,1994/1995,1995,1707,6645,0,7,243.9,,
Watamu,Dorado,Coryphaena hippurus,1994/1995,1995,1797,7836,6,7,256.7,,
Shimoni,Dorado,Coryphaena hippurus,1994/1995,1995,1001,4932,0,7,143.0,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,1994/1995,1995,2178,9555,0,7,311.1,,
Kilifi,Dorado,Coryphaena hippurus,1994/1995,1995,475,1841,0,7,67.9,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,1994/1995,1995,117,568,0,7,16.7,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,1995/1996,1996,3271,2978,0,7,467.3,,
Watamu,Dorado,Coryphaena hippurus,1995/1996,1996,737,3918,0,7,105.3,,
Shimoni,Dorado,Coryphaena hippurus,1995/1996,1996,538,3270,0,7,76.9,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,1995/1996,1996,795,4838,0,7,113.6,,
Kilifi,Dorado,Coryphaena hippurus,1995/1996,1996,110,578,0,7,15.7,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,1995/1996,1996,62,275,0,7,8.9,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,1996/1997,1997,559,2405,0,7,79.9,,
Watamu,Dorado,Coryphaena hippurus,1996/1997,1997,963,4505,0,7,137.6,,
Shimoni,Dorado,Coryphaena hippurus,1996/1997,1997,579,4445,0,7,82.7,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,1996/1997,1997,580,2751,0,7,82.9,,
Kilifi,Dorado,Coryphaena hippurus,1996/1997,1997,271,1064,0,7,38.7,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,1996/1997,1997,32,159,0,7,4.6,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,1997/1998,1998,487,1864.1,0,7,69.6,,
Watamu,Dorado,Coryphaena hippurus,1997/1998,1998,385,1848,0,7,55.0,,
Shimoni,Dorado,Coryphaena hippurus,1997/1998,1998,291,2485,0,7,41.6,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,1997/1998,1998,216,1005.7,0,7,30.9,,
Kilifi,Dorado,Coryphaena hippurus,1997/1998,1998,142,592.1,0,7,20.3,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,1997/1998,1998,25,170,0,7,3.6,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,1998/1999,1999,658,2428,0,7,94.0,,
Watamu,Dorado,Coryphaena hippurus,1998/1999,1999,809,4092,0,7,115.6,,
Shimoni,Dorado,Coryphaena hippurus,1998/1999,1999,301,2589,0,7,43.0,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,1998/1999,1999,345,1588,0,7,49.3,,
Kilifi,Dorado,Coryphaena hippurus,1998/1999,1999,200,965,0,7,28.6,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,1998/1999,1999,71,248,0,7,10.1,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,1999/2000,2000,747,3353.7,0,7,106.7,,
Watamu,Dorado,Coryphaena hippurus,1999/2000,2000,447,2066,0,7,63.9,,
Shimoni,Dorado,Coryphaena hippurus,1999/2000,2000,512,4418,0,7,73.1,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,1999/2000,2000,279,1401,0,7,39.9,,
Kilifi,Dorado,Coryphaena hippurus,1999/2000,2000,161,881,0,7,23.0,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,1999/2000,2000,74,363,0,7,10.6,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2000/2001,2001,359,1742,0,7,51.3,,
Watamu,Dorado,Coryphaena hippurus,2000/2001,2001,450,2354,0,7,64.3,,
Shimoni,Dorado,Coryphaena hippurus,2000/2001,2001,413,3787,0,7,59.0,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2000/2001,2001,214,1337,0,7,30.6,,
Kilifi,Dorado,Coryphaena hippurus,2000/2001,2001,160,555,0,7,22.9,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2000/2001,2001,72,262,0,7,10.3,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2001/2002,2002,840,3630,0,7,120.0,,
Watamu,Dorado,Coryphaena hippurus,2001/2002,2002,1112,18195,0,7,158.9,,
Shimoni,Dorado,Coryphaena hippurus,2001/2002,2002,330,2813,0,7,47.1,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2001/2002,2002,499,3254,0,7,71.3,,
Kilifi,Dorado,Coryphaena hippurus,2001/2002,2002,184,795,0,7,26.3,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2001/2002,2002,102,494,0,7,14.6,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2002/2003,2003,299,1524,0,7,42.7,,
Watamu,Dorado,Coryphaena hippurus,2002/2003,2003,367,2339,0,7,52.4,,
Shimoni,Dorado,Coryphaena hippurus,2002/2003,2003,423,3194,0,7,60.4,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2002/2003,2003,256,1762,0,7,36.6,,
Kilifi,Dorado,Coryphaena hippurus,2002/2003,2003,48,276,0,7,6.9,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2002/2003,2003,69,348,0,7,9.9,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2003/2004,2004,397,2068,0,7,56.7,,
Watamu,Dorado,Coryphaena hippurus,2003/2004,2004,422,2149.5,0,7,60.3,,
Shimoni,Dorado,Coryphaena hippurus,2003/2004,2004,288,1916,0,7,41.1,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2003/2004,2004,375,2200.3,0,7,53.6,,
Kilifi,Dorado,Coryphaena hippurus,2003/2004,2004,83,416,0,7,11.9,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2003/2004,2004,71,342,0,7,10.1,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2004/2005,2005,581,2406,0,7,83.0,,
Watamu,Dorado,Coryphaena hippurus,2004/2005,2005,579,3203,0,7,82.7,,
Shimoni,Dorado,Coryphaena hippurus,2004/2005,2005,291,1984,0,7,41.6,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2004/2005,2005,324,1360,0,7,46.3,,
Kilifi,Dorado,Coryphaena hippurus,2004/2005,2005,89,254,0,7,12.7,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2004/2005,2005,132,242.5,0,7,18.9,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2005/2006,2006,142,724,0,7,20.3,,
Watamu,Dorado,Coryphaena hippurus,2005/2006,2006,565,3561.5,0,7,80.7,,
Shimoni,Dorado,Coryphaena hippurus,2005/2006,2006,210,1499.1,0,7,30.0,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2005/2006,2006,250,1347.9,0,7,35.7,,
Kilifi,Dorado,Coryphaena hippurus,2005/2006,2006,85,300.8,0,7,12.1,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2005/2006,2006,79,352,0,7,11.3,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2006/2007,2007,702,3342.5,1,7,100.3,,
Watamu,Dorado,Coryphaena hippurus,2006/2007,2007,863,4051.5,0,7,123.3,,
Shimoni,Dorado,Coryphaena hippurus,2006/2007,2007,200,945.5,2,7,28.6,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2006/2007,2007,187,780.9,0,7,26.7,,
Kilifi,Dorado,Coryphaena hippurus,2006/2007,2007,0,0,0,7,0.0,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2006/2007,2007,112,373,0,7,16.0,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2007/2008,2008,580,3612,0,7,82.9,,
Watamu,Dorado,Coryphaena hippurus,2007/2008,2008,0,0,0,7,0.0,,
Shimoni,Dorado,Coryphaena hippurus,2007/2008,2008,268,1453,45,7,38.3,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2007/2008,2008,99,449,0,7,14.1,,
Kilifi,Dorado,Coryphaena hippurus,2007/2008,2008,82,0,0,7,11.7,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2007/2008,2008,58,340,0,7,8.3,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2008/2009,2009,787,3789,0,7,112.4,,
Watamu,Dorado,Coryphaena hippurus,2008/2009,2009,808,4314,0,7,115.4,,
Shimoni,Dorado,Coryphaena hippurus,2008/2009,2009,255,1500.5,0,7,36.4,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2008/2009,2009,374,1678,0,7,53.4,,
Kilifi,Dorado,Coryphaena hippurus,2008/2009,2009,61,383.6,0,7,8.7,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2008/2009,2009,54,0,0,7,7.7,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2009/2010,2010,462,2110,0,7,66.0,,
Watamu,Dorado,Coryphaena hippurus,2009/2010,2010,808,4314,0,7,115.4,,
Shimoni,Dorado,Coryphaena hippurus,2009/2010,2010,74,385.2,0,7,10.6,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2009/2010,2010,127,701,0,7,18.1,,
Kilifi,Dorado,Coryphaena hippurus,2009/2010,2010,98,567,0,7,14.0,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2009/2010,2010,96,402,0,7,13.7,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2010/2011,2011,462,2110,0,7,66.0,,
Watamu,Dorado,Coryphaena hippurus,2010/2011,2011,539,2615,0,7,77.0,,
Shimoni,Dorado,Coryphaena hippurus,2010/2011,2011,74,385.2,0,7,10.6,,
