zone,fish_type,species,season,year,number_of_boated_catch,weight_in_kgs,tagged_fish,hours,cpue,released_weight_weight_boated,calculated_length,wrong_entry,average_weight,release_weight
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,1991/1992,1992,700,3891.8,0,7,100,,,no,5.56,0
Watamu,Kingfish,Scomberomorus commerson,1991/1992,1992,291,2271,0,7,41.6,,,no,7.8,0
Shimoni,Kingfish,Scomberomorus commerson,1991/1992,1992,30,165,0,7,4.3,,,no,5.5,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,1991/1992,1992,130,1103,0,7,18.6,,,no,8.48,0
Kilifi,Kingfish,Scomberomorus commerson,1991/1992,1992,25,143,0,7,3.6,,,no,5.72,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,1991/1992,1992,58,357.5,0,7,8.3,,,no,6.16,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,1992/1993,1993,432,2557,0,7,61.7,,,no,5.92,0
Watamu,Kingfish,Scomberomorus commerson,1992/1993,1993,203,1366,0,7,29,,,no,6.73,0
Shimoni,Kingfish,Scomberomorus commerson,1992/1993,1993,58,282,0,7,8.3,,,no,4.86,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,1992/1993,1993,214,1475.9,0,7,30.6,,,no,6.9,0
Kilifi,Kingfish,Scomberomorus commerson,1992/1993,1993,35,181,0,7,5,,,no,5.17,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,1992/1993,1993,42,3045,0,7,6,,,no,72.5,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,1993/1994,1994,317,2244.9,0,7,45.3,,,no,7.08,0
Watamu,Kingfish,Scomberomorus commerson,1993/1994,1994,261,2319,0,7,37.3,,,no,8.89,0
Shimoni,Kingfish,Scomberomorus commerson,1993/1994,1994,49,262.8,0,7,7,,,no,5.36,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,1993/1994,1994,176,1461.7,0,7,25.1,,,no,8.31,0
Kilifi,Kingfish,Scomberomorus commerson,1993/1994,1994,6,33.8,0,7,0.9,,,no,5.63,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,1993/1994,1994,62,2615,0,7,8.9,,,no,42.18,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,1994/1995,1995,336,2122,0,7,48,,,no,6.32,0
Watamu,Kingfish,Scomberomorus commerson,1994/1995,1995,395,3758,2,7,56.4,,,no,9.51,19
Shimoni,Kingfish,Scomberomorus commerson,1994/1995,1995,125,594,0,7,17.9,,,no,4.75,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,1994/1995,1995,151,1051,0,7,21.6,,,no,6.96,0
Kilifi,Kingfish,Scomberomorus commerson,1994/1995,1995,25,91,0,7,3.6,,,no,3.64,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,1994/1995,1995,19,132,0,7,2.7,,,no,6.95,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,1995/1996,1996,362,2785,0,7,51.7,,,no,7.69,0
Watamu,Kingfish,Scomberomorus commerson,1995/1996,1996,269,2344,0,7,38.4,,,no,8.71,0
Shimoni,Kingfish,Scomberomorus commerson,1995/1996,1996,77,530,0,7,11,,,no,6.88,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,1995/1996,1996,135,1102,0,7,19.3,,,no,8.16,0
Kilifi,Kingfish,Scomberomorus commerson,1995/1996,1996,8,82,0,7,1.1,,,no,10.25,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,1995/1996,1996,23,184,0,7,3.3,,,no,8,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,1996/1997,1997,396,2739,0,7,56.6,,,no,6.92,0
Watamu,Kingfish,Scomberomorus commerson,1996/1997,1997,322,2948,0,7,46,,,no,9.16,0
Shimoni,Kingfish,Scomberomorus commerson,1996/1997,1997,33,200,0,7,4.7,,,no,6.06,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,1996/1997,1997,148,1269,0,7,21.1,,,no,8.57,0
Kilifi,Kingfish,Scomberomorus commerson,1996/1997,1997,16,158,0,7,2.3,,,no,9.88,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,1996/1997,1997,42,377,0,7,6,,,no,8.98,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,1997/1998,1998,501,3191.8,0,7,71.6,,,no,6.37,0
Watamu,Kingfish,Scomberomorus commerson,1997/1998,1998,712,6042,0,7,101.7,,,no,8.49,0
Shimoni,Kingfish,Scomberomorus commerson,1997/1998,1998,98,818.1,0,7,14,,,no,8.35,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,1997/1998,1998,175,1063.9,0,7,25,,,no,6.08,0
Kilifi,Kingfish,Scomberomorus commerson,1997/1998,1998,22,135.4,0,7,3.1,,,no,6.15,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,1997/1998,1998,37,259,0,7,5.3,,,no,7,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,1998/1999,1999,555,4445,0,7,79.3,,,no,8.01,0
Watamu,Kingfish,Scomberomorus commerson,1998/1999,1999,388,3178,0,7,55.4,,,no,8.19,0
Shimoni,Kingfish,Scomberomorus commerson,1998/1999,1999,45,275,0,7,6.4,,,no,6.11,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,1998/1999,1999,147,850,0,7,21,,,no,5.78,0
Kilifi,Kingfish,Scomberomorus commerson,1998/1999,1999,22,143,0,7,3.1,,,no,6.5,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,1998/1999,1999,76,538,0,7,10.9,,,no,7.08,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,1999/2000,2000,514,4302.3,0,7,73.4,,,no,8.37,0
Watamu,Kingfish,Scomberomorus commerson,1999/2000,2000,255,3297,0,7,36.4,,,no,12.93,0
Shimoni,Kingfish,Scomberomorus commerson,1999/2000,2000,19,142,0,7,2.7,,,no,7.47,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,1999/2000,2000,89,794,0,7,12.7,,,no,8.92,0
Kilifi,Kingfish,Scomberomorus commerson,1999/2000,2000,13,102,0,7,1.9,,,no,7.85,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,1999/2000,2000,30,204,0,7,4.3,,,no,6.8,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,2000/2001,2001,370,3199,0,7,52.9,,,no,8.65,0
Watamu,Kingfish,Scomberomorus commerson,2000/2001,2001,322,3186,0,7,46,,,no,9.89,0
Shimoni,Kingfish,Scomberomorus commerson,2000/2001,2001,30,244,0,7,4.3,,,no,8.13,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,2000/2001,2001,59,360,0,7,8.4,,,no,6.1,0
Kilifi,Kingfish,Scomberomorus commerson,2000/2001,2001,23,113,0,7,3.3,,,no,4.91,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,2000/2001,2001,15,124,0,7,2.1,,,no,8.27,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,2001/2002,2002,699,5491,0,7,99.9,,,no,7.86,0
Watamu,Kingfish,Scomberomorus commerson,2001/2002,2002,629,6041,0,7,89.9,,,no,9.6,0
Shimoni,Kingfish,Scomberomorus commerson,2001/2002,2002,15,101,0,7,2.1,,,no,6.73,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,2001/2002,2002,139,1005,0,7,19.9,,,no,7.23,0
Kilifi,Kingfish,Scomberomorus commerson,2001/2002,2002,22,105,0,7,3.1,,,no,4.77,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,2001/2002,2002,40,302,0,7,5.7,,,no,7.55,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,2002/2003,2003,1912,11419,0,7,273.1,,,no,5.97,0
Watamu,Kingfish,Scomberomorus commerson,2002/2003,2003,287,2069,0,7,41,,,no,7.21,0
Shimoni,Kingfish,Scomberomorus commerson,2002/2003,2003,67,367,0,7,9.6,,,no,5.48,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,2002/2003,2003,321,1986,0,7,45.9,,,no,6.19,0
Kilifi,Kingfish,Scomberomorus commerson,2002/2003,2003,25,139,0,7,3.6,,,no,5.56,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,2002/2003,2003,82,733,0,7,11.7,,,no,8.94,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,2003/2004,2004,1485,10119.8,0,7,212.1,,,no,6.81,0
Watamu,Kingfish,Scomberomorus commerson,2003/2004,2004,428,5366,0,7,61.1,,,no,12.54,0
Shimoni,Kingfish,Scomberomorus commerson,2003/2004,2004,23,140,0,7,3.3,,,no,6.09,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,2003/2004,2004,154,1561.7,0,7,22,,,no,10.14,0
Kilifi,Kingfish,Scomberomorus commerson,2003/2004,2004,36,222,0,7,5.1,,,no,6.17,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,2003/2004,2004,112,1033,0,7,16,,,no,9.22,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,2004/2005,2005,1031,7530.7,0,7,147.3,,,no,7.3,0
Watamu,Kingfish,Scomberomorus commerson,2004/2005,2005,634,6054,0,7,90.6,,,no,9.55,0
Shimoni,Kingfish,Scomberomorus commerson,2004/2005,2005,13,58,0,7,1.9,,,no,4.46,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,2004/2005,2005,120,1098,0,7,17.1,,,no,9.15,0
Kilifi,Kingfish,Scomberomorus commerson,2004/2005,2005,16,104,0,7,2.3,,,no,6.5,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,2004/2005,2005,59,363,0,7,8.4,,,no,6.15,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,2005/2006,2006,38,215,0,7,5.4,,,no,5.66,0
Watamu,Kingfish,Scomberomorus commerson,2005/2006,2006,283,3152.5,0,7,40.4,,,no,11.14,0
Shimoni,Kingfish,Scomberomorus commerson,2005/2006,2006,11,60.5,0,7,1.6,,,no,5.5,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,2005/2006,2006,75,565.6,0,7,10.7,,,no,7.54,0
Kilifi,Kingfish,Scomberomorus commerson,2005/2006,2006,13,69.1,0,7,1.9,,,no,5.32,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,2005/2006,2006,56,325,0,7,8,,,no,5.8,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,2006/2007,2007,647,3351.5,0,7,92.4,,,no,5.18,0
Watamu,Kingfish,Scomberomorus commerson,2006/2007,2007,351,3420.5,0,7,50.1,,,no,9.75,0
Shimoni,Kingfish,Scomberomorus commerson,2006/2007,2007,12,60.1,0,7,1.7,,,no,5.01,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,2006/2007,2007,25,210.1,0,7,3.6,,,no,8.4,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,2006/2007,2007,62,399,0,7,8.9,,,no,6.44,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,2007/2008,2008,270,1833,0,7,38.6,,,no,6.79,0
Watamu,Kingfish,Scomberomorus commerson,2007/2008,2008,231,2459,0,7,33,,,no,10.65,0
Shimoni,Kingfish,Scomberomorus commerson,2007/2008,2008,10,62.3,0,7,1.4,,,no,6.23,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,2007/2008,2008,20,114,0,7,2.9,,,no,5.7,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,2007/2008,2008,67,463,0,7,9.6,,,no,6.91,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,2008/2009,2009,143,969.5,0,7,20.4,,,no,6.78,0
Watamu,Kingfish,Scomberomorus commerson,2008/2009,2009,200,1985,0,7,28.6,,,no,9.93,0
Shimoni,Kingfish,Scomberomorus commerson,2008/2009,2009,6,27,0,7,0.9,,,no,4.5,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,2008/2009,2009,37,250,0,7,5.3,,,no,6.76,0
Kilifi,Kingfish,Scomberomorus commerson,2008/2009,2009,6,29,0,7,0.9,,,no,4.83,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,2009/2010,2010,327,1991,0,7,46.7,,,no,6.09,0
Watamu,Kingfish,Scomberomorus commerson,2009/2010,2010,200,1985,0,7,28.6,,,no,9.93,0
Shimoni,Kingfish,Scomberomorus commerson,2009/2010,2010,2,17,0,7,0.3,,,no,8.5,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,2009/2010,2010,25,114,0,7,3.6,,,no,4.56,0
Kilifi,Kingfish,Scomberomorus commerson,2009/2010,2010,7,38,0,7,1,,,no,5.43,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,2009/2010,2010,34,201,0,7,4.9,,,no,5.91,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,2010/2011,2011,327,1991,0,7,46.7,,,no,6.09,0
Watamu,Kingfish,Scomberomorus commerson,2010/2011,2011,239,2077,0,7,34.1,,,no,8.69,0
Shimoni,Kingfish,Scomberomorus commerson,2010/2011,2011,2,17,0,7,0.3,,,no,8.5,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,2010/2011,2011,25,114,0,7,3.6,,,no,4.56,0
Kilifi,Kingfish,Scomberomorus commerson,2010/2011,2011,7,38,0,7,1,,,no,5.43,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,2010/2011,2011,34,201,0,7,4.9,,,no,5.91,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,2011/2012,2012,472,2182,0,7,67.4,,,no,4.62,0
Watamu,Kingfish,Scomberomorus commerson,2011/2012,2012,88,609,0,7,12.6,,,no,6.92,0
Shimoni,Kingfish,Scomberomorus commerson,2011/2012,2012,37,141,0,7,5.3,,,no,3.81,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,2011/2012,2012,27,168,0,7,3.9,,,no,6.22,0
Kilifi,Kingfish,Scomberomorus commerson,2011/2012,2012,14,63,0,7,2,,,no,4.5,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,2011/2012,2012,51,292,0,7,7.3,,,no,5.73,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,2012/2013,2013,169,722,0,7,24.1,,,no,4.27,0
Watamu,Kingfish,Scomberomorus commerson,2012/2013,2013,74,565,0,7,10.6,,,no,7.64,0
Shimoni,Kingfish,Scomberomorus commerson,2012/2013,2013,5,21,0,7,0.7,,,no,4.2,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,2012/2013,2013,10,85,0,7,1.4,,,no,8.5,0
Kilifi,Kingfish,Scomberomorus commerson,2012/2013,2013,8,31.6,0,7,1.1,,,no,3.95,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,2012/2013,2013,9,76,0,7,1.3,,,no,8.44,0
Malindi & Ngomeni,Kingfish,Scomberomorus commerson,2013/2014,2014,427,2403,0,7,61,,,no,5.63,0
Watamu,Kingfish,Scomberomorus commerson,2013/2014,2014,60,424,0,7,8.6,,,no,7.07,0
Shimoni,Kingfish,Scomberomorus commerson,2013/2014,2014,11,37,0,7,1.6,,,no,3.36,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,2013/2014,2014,15,84,0,7,2.1,,,no,5.6,0
Kilifi,Kingfish,Scomberomorus commerson,2013/2014,2014,26,155,0,7,3.7,,,no,5.96,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,2013/2014,2014,27,196,0,7,3.9,,,no,7.26,0
Watamu,Kingfish,Scomberomorus commerson,2014/2015,2015,27,185,0,7,3.9,,,no,6.85,0
Kilifi,Kingfish,Scomberomorus commerson,2014/2015,2015,23,110,0,7,3.3,,,no,4.78,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,2014/2015,2015,8,50,0,7,1.1,,,no,6.25,0
Shimoni,Mako Shark,Isurus oxyrinchus,1990/1991,1991,7,499,0,7,1,,,no,71.29,0
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,1991/1992,1992,5,399.1,0,7,0.7,,,no,79.82,0
Watamu,Mako Shark,Isurus oxyrinchus,1991/1992,1992,7,488,0,7,1,,,no,69.71,0
Shimoni,Mako Shark,Isurus oxyrinchus,1991/1992,1992,8,1048,0,7,1.1,,,no,131,0
Mtwapa & Mombasa,Mako Shark,Isurus oxyrinchus,1991/1992,1992,1,23,0,7,0.1,,,no,23,0
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,1992/1993,1993,4,256.6,1,7,0.6,,,no,64.15,64
Watamu,Mako Shark,Isurus oxyrinchus,1992/1993,1993,6,379,0,7,0.9,,,no,63.17,0
Shimoni,Mako Shark,Isurus oxyrinchus,1992/1993,1993,6,431,0,7,0.9,,,no,71.83,0
Mtwapa & Mombasa,Mako Shark,Isurus oxyrinchus,1992/1993,1993,2,105,0,7,0.3,,,no,52.5,0
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,1993/1994,1994,6,389,0,7,0.9,,,no,64.83,0
Watamu,Mako Shark,Isurus oxyrinchus,1993/1994,1994,4,242,1,7,0.6,,,no,60.5,60
Shimoni,Mako Shark,Isurus oxyrinchus,1993/1994,1994,11,960.7,0,7,1.6,,,no,87.34,0
Mtwapa & Mombasa,Mako Shark,Isurus oxyrinchus,1993/1994,1994,1,55.5,0,7,0.1,,,no,55.5,0
Kilifi,Mako Shark,Isurus oxyrinchus,1993/1994,1994,1,40.7,0,7,0.1,,,no,40.7,0
Watamu,Mako Shark,Isurus oxyrinchus,1994/1995,1995,2,126,0,7,0.3,,,no,63,0
Watamu,Mako Shark,Isurus oxyrinchus,1995/1996,1996,4,225,1,7,0.6,,,no,56.25,56
Shimoni,Mako Shark,Isurus oxyrinchus,1995/1996,1996,2,195,0,7,0.3,,,no,97.5,0
Mtwapa & Mombasa,Mako Shark,Isurus oxyrinchus,1995/1996,1996,1,85,0,7,0.1,,,no,85,0
Kilifi,Mako Shark,Isurus oxyrinchus,1995/1996,1996,1,40.7,0,7,0.1,,,no,40.7,0
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,1996/1997,1997,3,144,0,7,0.4,,,no,48,0
Watamu,Mako Shark,Isurus oxyrinchus,1996/1997,1997,3,134,1,7,0.4,,,no,44.67,44
Shimoni,Mako Shark,Isurus oxyrinchus,1996/1997,1997,3,203,0,7,0.4,,,no,67.67,0
Kilifi,Mako Shark,Isurus oxyrinchus,1996/1997,1997,1,68,0,7,0.1,,,no,68,0
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,1997/1998,1998,1,128,0,7,0.1,,,no,128,0
Watamu,Mako Shark,Isurus oxyrinchus,1997/1998,1998,1,62,0,7,0.1,,,no,62,0
Shimoni,Mako Shark,Isurus oxyrinchus,1997/1998,1998,1,46,0,7,0.1,,,no,46,0
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,1998/1999,1999,6,392,1,7,0.9,,,no,65.33,65
Watamu,Mako Shark,Isurus oxyrinchus,1998/1999,1999,2,103,0,7,0.3,,,no,51.5,0
Shimoni,Mako Shark,Isurus oxyrinchus,1998/1999,1999,1,77,1,7,0.1,,,no,77,77
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,1999/2000,2000,2,397.4,0,7,0.3,,,no,198.7,0
Watamu,Mako Shark,Isurus oxyrinchus,1999/2000,2000,7,60,6,7,1,,,no,8.57,51
Shimoni,Mako Shark,Isurus oxyrinchus,1999/2000,2000,1,32,0,7,0.1,,,no,32,0
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,2000/2001,2001,2,125,1,7,0.3,,,no,62.5,62
Shimoni,Mako Shark,Isurus oxyrinchus,2000/2001,2001,1,135,1,7,0.1,,,no,135,135
Shimoni,Mako Shark,Isurus oxyrinchus,2001/2002,2002,1,36,1,7,0.1,,,no,36,36
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,2002/2003,2003,2,218,1,7,0.3,,,no,109,109
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,2003/2004,2004,1,100,1,7,0.1,,,no,100,100
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,2004/2005,2005,1,50,1,7,0.1,,,no,50,50
Watamu,Mako Shark,Isurus oxyrinchus,2004/2005,2005,2,210,2,7,0.3,,,no,105,210
Shimoni,Mako Shark,Isurus oxyrinchus,2005/2006,2006,1,77,1,7,0.1,,,no,77,77
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,2006/2007,2007,2,290,2,7,0.3,,,no,145,290
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,2007/2008,2008,1,50,1,7,0.1,,,no,50,50
Watamu,Mako Shark,Isurus oxyrinchus,2007/2008,2008,1,220,1,7,0.1,,,no,220,220
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,2008/2009,2009,2,120,2,7,0.3,,,no,60,120
Watamu,Mako Shark,Isurus oxyrinchus,2008/2009,2009,1,80,1,7,0.1,,,no,80,80
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,2009/2010,2010,1,70,0,7,0.1,,,no,70,0
Watamu,Mako Shark,Isurus oxyrinchus,2009/2010,2010,1,80,1,7,0.1,,,no,80,80
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,2010/2011,2011,1,70,0,7,0.1,,,no,70,0
Shimoni,Mako Shark,Isurus oxyrinchus,2011/2012,2012,1,90,1,7,0.1,,,no,90,90
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,2012/2013,2013,1,40,1,7,0.1,,,no,40,40
Watamu,Mako Shark,Isurus oxyrinchus,2012/2013,2013,1,50,1,7,0.1,,,no,50,50
Shimoni,Mako Shark,Isurus oxyrinchus,2012/2013,2013,1,10,1,7,0.1,,,no,10,10
Malindi & Ngomeni,Mako Shark,Isurus oxyrinchus,2013/2014,2014,1,43,0,7,0.1,,,no,43,0
Watamu,Mako Shark,Isurus oxyrinchus,2013/2014,2014,6,380,5,7,0.9,,,no,63.33,316
Shimoni,Mako Shark,Isurus oxyrinchus,2013/2014,2014,2,75,2,7,0.3,,,no,37.5,75
Malindi & Ngomeni,Mako Shark,Istiophorus platypterus,1990/1991,1991,1712,40847,0,7,244.6,,,no,23.86,0
Watamu,Sailfish,Istiophorus platypterus,1990/1991,1991,464,11334,0,7,66.3,,,no,24.43,0
Shimoni,Sailfish,Istiophorus platypterus,1990/1991,1991,35,1364,0,7,5,,,no,38.97,0
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,1990/1991,1991,130,3322,0,7,18.6,,,no,25.55,0
Kilifi,Sailfish,Istiophorus platypterus,1990/1991,1991,11,309,0,7,1.6,,,no,28.09,0
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,1990/1991,1991,1,29,0,7,0.1,,,no,29,0
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,1991/1992,1992,2919,97712.3,937,7,417,,,no,33.47,31361
Watamu,Sailfish,Istiophorus platypterus,1991/1992,1992,869,11423,434,7,124.1,,,no,13.14,5702
Shimoni,Sailfish,Istiophorus platypterus,1991/1992,1992,221,6277,26,7,31.6,,,no,28.4,738
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,1991/1992,1992,312,7844,14,7,44.6,,,no,25.14,351
Kilifi,Sailfish,Istiophorus platypterus,1991/1992,1992,43,1093,5,7,6.1,,,no,25.42,127
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,1991/1992,1992,225,147,6,7,32.1,,,no,0.65,3
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,1992/1993,1993,1655,39610.5,481,7,236.4,,,no,23.93,11510
Watamu,Sailfish,Istiophorus platypterus,1992/1993,1993,761,8112,533,7,108.7,,,no,10.66,5681
Shimoni,Sailfish,Istiophorus platypterus,1992/1993,1993,180,3914,112,7,25.7,,,no,21.74,2434
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,1992/1993,1993,260,5425.3,10,7,37.1,,,no,20.87,208
Kilifi,Sailfish,Istiophorus platypterus,1992/1993,1993,31,891,10,7,4.4,,,no,28.74,287
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,1992/1993,1993,145,153,6,7,20.7,,,no,1.06,6
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,1993/1994,1994,1897,48197.1,411,7,271,,,no,25.41,10443
Watamu,Sailfish,Istiophorus platypterus,1993/1994,1994,764,19449.2,496,7,109.1,,,no,25.46,12628
Shimoni,Sailfish,Istiophorus platypterus,1993/1994,1994,100,2776.2,64,7,14.3,,,no,27.76,1776
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,1993/1994,1994,203,6123.3,19,7,29,,,no,30.16,573
Kilifi,Sailfish,Istiophorus platypterus,1993/1994,1994,42,1159.1,27,7,6,,,no,27.6,745
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,1993/1994,1994,96,349,80,7,13.7,,,no,3.64,291
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,1994/1995,1995,3502,76522,762,7,500.3,,,no,21.85,16649
Watamu,Sailfish,Istiophorus platypterus,1994/1995,1995,1677,12724,1197,7,239.6,,,no,7.59,9085
Shimoni,Sailfish,Istiophorus platypterus,1994/1995,1995,283,3136,161,7,40.4,,,no,11.08,1783
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,1994/1995,1995,525,11408,98,7,75,,,no,21.73,2129
Kilifi,Sailfish,Istiophorus platypterus,1994/1995,1995,115,2664,17,7,16.4,,,no,23.17,393
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,1994/1995,1995,187,4675,179,7,26.7,,,no,25,4475
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,1995/1996,1996,1479,36288,408,7,211.3,,,no,24.54,10012
Watamu,Sailfish,Istiophorus platypterus,1995/1996,1996,1366,8568,1041,7,195.1,,,no,6.27,6527
Shimoni,Sailfish,Istiophorus platypterus,1995/1996,1996,232,5979,179,7,33.1,,,no,25.77,4612
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,1995/1996,1996,199,5356,10,7,28.4,,,no,26.91,269
Kilifi,Sailfish,Istiophorus platypterus,1995/1996,1996,70,905,0,7,10,,,no,12.93,0
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,1995/1996,1996,56,25,55,7,8,,,no,0.45,24
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,1996/1997,1997,2164,57850,624,7,309.1,,,no,26.73,16679
Watamu,Sailfish,Istiophorus platypterus,1996/1997,1997,1340,10509,1071,7,191.4,,,no,7.84,8396
Shimoni,Sailfish,Istiophorus platypterus,1996/1997,1997,567,15051,179,7,81,,,no,26.54,4750
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,1996/1997,1997,236,5926,29,7,33.7,,,no,25.11,728
Kilifi,Sailfish,Istiophorus platypterus,1996/1997,1997,164,3141,111,7,23.4,,,no,19.15,2125
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,1996/1997,1997,100,138,95,7,14.3,,,no,1.38,131
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,1997/1998,1998,960,23019.4,346,7,137.1,,,no,23.98,8297
Watamu,Sailfish,Istiophorus platypterus,1997/1998,1998,952,8542,710,7,136,,,no,8.97,6368
Shimoni,Sailfish,Istiophorus platypterus,1997/1998,1998,239,6341.5,209,7,34.1,,,no,26.53,5544
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,1997/1998,1998,175,4946.7,34,7,25,,,no,28.27,961
Kilifi,Sailfish,Istiophorus platypterus,1997/1998,1998,58,682,30,7,8.3,,,no,11.76,352
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,1998/1999,1999,847,13774,336,7,121,,,no,16.26,5463
